bus_id,route_id,route_short_name,route_long_name,stop_id,stop_name,stop_lat,stop_lon,departure_time,arrival_time,segment_distance_km,speed_kmh,traffic_level,source,destination,stop_sequence
BUS0248,0,R_RD,RED_Rithala to Dilshad Garden,7,Shastri Park,28.668451,77.250404,2025-09-12 17:38:09,2025-09-12 17:37:49,2.185575574802384,34.96920919683814,Low,Rithala,Dilshad Garden,1
BUS0096,0,R_RD,RED_Rithala to Dilshad Garden,12,Shastri Nagar,28.670135,77.181679,2025-09-12 17:49:22,2025-09-12 17:49:02,1.175827597486675,27.30954419969051,Low,Rithala,Dilshad Garden,2
BUS0291,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),6,Seelam Pur,28.670324,77.267311,2025-09-12 06:10:47,2025-09-12 06:10:27,1.662589072184965,35.20776858744632,Low,Rithala,Shaheed Sthal (New Bus Adda),1
BUS0296,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),227,Arthala,28.6772,77.391876,2025-09-12 06:36:41,2025-09-12 06:36:21,0.7630873676652618,26.16299546280898,Low,Rithala,Shaheed Sthal (New Bus Adda),2
BUS0016,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),20,Rohini West,28.715008,77.115746,2025-09-12 07:01:22,2025-09-12 07:01:02,1.22775307134603,25.99947680497476,Low,Rithala,Shaheed Sthal (New Bus Adda),3
BUS0070,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),10,Pul Bangash,28.66571,77.206329,2025-09-12 07:18:22,2025-09-12 07:18:02,0.9286481474558884,24.76395059882369,Medium,Rithala,Shaheed Sthal (New Bus Adda),4
BUS0222,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),12,Shastri Nagar,28.670135,77.181679,2025-09-12 08:31:04,2025-09-12 08:30:44,1.175827597486675,27.30954419969051,Low,Rithala,Shaheed Sthal (New Bus Adda),5
BUS0131,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),5,Welcome,28.671986,77.277931,2025-09-12 09:08:30,2025-09-12 09:08:10,1.052451216654584,26.12982331004483,Low,Rithala,Shaheed Sthal (New Bus Adda),6
BUS0259,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),230,Major Mohit Sharma Rajender Nagar,28.678095,77.359528,2025-09-12 09:37:40,2025-09-12 09:37:20,1.27884910303332,32.8846912208568,Low,Rithala,Shaheed Sthal (New Bus Adda),7
BUS0163,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),10,Pul Bangash,28.66571,77.206329,2025-09-12 10:58:50,2025-09-12 10:58:30,0.9286481474558884,24.76395059882369,Medium,Rithala,Shaheed Sthal (New Bus Adda),8
BUS0047,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),9,Tis Hazari,28.667137,77.216721,2025-09-12 12:09:17,2025-09-12 12:08:57,1.026241661156374,27.36644429750332,Low,Rithala,Shaheed Sthal (New Bus Adda),9
